Experience,Qualifications,Work Type,Job Title,Role,skills,Responsibilities
4 to 12 Years,B.Tech,Contract,Litigation Attorney,Family Law Attorney,Family law Divorce proceedings Child custody Mediation Legal counseling Court representation,"Specialize in family law matters, such as divorce, child custody, and adoption. Advocate for clients in family court proceedings. Offer legal advice and mediation services."
3 to 15 Years,MCA,Part-Time,Mechanical Engineer,Mechanical Design Engineer,"Mechanical engineering CAD software (e.g., SolidWorks, AutoCAD) Finite element analysis Product development Prototyping","Design mechanical systems, components, and products. Create 3D models and detailed engineering drawings. Perform structural and thermal analyses."
1 to 8 Years,B.Com,Temporary,Network Administrator,Network Security Analyst,Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail,"Manage and secure computer networks, including firewalls and intrusion detection systems. Monitor network traffic for security threats. Implement security policies and procedures."
1 to 9 Years,MCA,Full-Time,Account Manager,Sales Account Manager,Account management Sales strategy Negotiation and closing skills,Manage sales accounts and ensure revenue growth. Identify cross-selling and upselling opportunities. Develop account strategies and forecasts.
4 to 12 Years,M.Com,Part-Time,Brand Manager,Product Brand Manager,Product branding and marketing Product lifecycle management Cross-functional team collaboration Product launch planning Market segmentation and targeting,Manage the branding of specific products or product lines. Create product launch plans and marketing campaigns. Ensure consistent product messaging and brand representation.
5 to 14 Years,M.Tech,Part-Time,Social Worker,School Social Worker,School social work principles Student assessment and intervention Special education laws Individualized education plans (IEPs) Crisis management Collaboration with educators Family engagement Advocacy Empathy and communication Documentation Cultural competence Licensing and certification,Collaborate with schools to support students academic and social needs. Conduct assessments and provide counseling and resources. Advocate for students and families.
0 to 11 Years,BA,Full-Time,Social Media Coordinator,Content Creator,"Content creation (e.g., writing, editing, graphic design, video production) Content marketing Social media management SEO optimization Creative storytelling Audience engagement Analytics and reporting Adaptability Communication skills Creativity","Create compelling and shareable content for social media platforms, including text, images, and videos. Collaborate with designers and photographers for visuals. Engage with the audience and respond to comments."
3 to 12 Years,BA,Contract,Email Marketing Specialist,Deliverability Analyst,"Email deliverability best practices Spam filter testing List hygiene Blacklist monitoring Email authentication (e.g., SPF, DKIM) Deliverability metrics analysis Troubleshooting deliverability issues Communication skills Data analysis Attention to detail","Focus on email deliverability, monitoring email sender reputation and list quality. Troubleshoot email delivery issues and maintain sender compliance. Implement best practices for inbox placement."
5 to 9 Years,PhD,Temporary,HR Generalist,HR Coordinator,Human resource Recruitment Employee onboarding HRIS (HR Information Systems) Record keeping Communication skills,"Assist with recruitment activities, including posting job openings, coordinating interviews, and managing applicant data. Ensure a positive candidate experience. Maintain recruitment records and metrics."
0 to 15 Years,B.Tech,Full-Time,Legal Assistant,Legal Secretary,"Legal administrative tasks Document management Calendar and docketing Transcription File organization Communication with clients and courts Knowledge of legal terminology Attention to detail Multitasking Computer skills (e.g., MS Office)","Provide administrative support to legal professionals, including scheduling appointments and managing calendars. Prepare legal correspondence and forms. Maintain legal databases and records."
0 to 10 Years,BCA,Intern,Nurse Practitioner,Family Nurse Practitioner,Family medicine Health assessment Pediatric care Chronic disease management Patient education,"Focus on family-centered care, providing healthcare services to individuals and families of all ages. Perform physical exams, order diagnostic tests, and manage chronic conditions. Promote health and wellness."
1 to 8 Years,M.Tech,Intern,Account Director,Account Strategist,Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills,Develop account strategies and marketing plans to achieve client objectives. Analyze campaign performance data and provide strategic recommendations. Collaborate with cross-functional teams.
2 to 14 Years,PhD,Temporary,Software Engineer,Backend Developer,"Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)","Develop server-side logic and databases using programming languages like Java, Python, or Node.js. Ensure data security and integrity. Implement APIs for seamless communication between frontend and backend."
3 to 9 Years,MBA,Temporary,Purchasing Agent,Supply Chain Coordinator,Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination,"Coordinate supply chain activities, including logistics, transportation, and demand planning. Collaborate with suppliers and distribution partners. Monitor and improve supply chain efficiency."
4 to 12 Years,BBA,Temporary,Purchasing Agent,Supply Chain Coordinator,Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination,"Coordinate supply chain activities, including logistics, transportation, and demand planning. Collaborate with suppliers and distribution partners. Monitor and improve supply chain efficiency."
5 to 15 Years,M.Tech,Contract,Sales Consultant,B2B Sales Consultant,B2B sales Business-to-business sales strategies Lead generation Sales negotiations Client relationship building Market research,"Specialize in business-to-business (B2B) sales, targeting corporate clients. Build and maintain long-term relationships with key clients. Negotiate and close complex sales deals."
4 to 15 Years,BA,Part-Time,Civil Engineer,Structural Engineer,"Structural engineering principles Structural analysis and design software (e.g., AutoCAD, SAP2000) Building codes and standards Project management Structural integrity assessment",Design and analyze structural components and systems for buildings and infrastructure projects. Ensure structural safety and compliance with codes and standards. Collaborate with architects and contractors.
0 to 12 Years,M.Com,Intern,Network Security Specialist,Security Operations Center (SOC) Analyst,"SOC operations Security incident response Threat detection Log analysis Security tools (e.g., IDS/IPS) Security alerts triage",Work in SOC teams to monitor and respond to security incidents. Investigate and analyze security alerts and incidents. Maintain security documentation and incident reports.
2 to 10 Years,BBA,Intern,UI Developer,Front-End Developer,"Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility","Develop and maintain user interfaces for websites and web applications. Write clean and efficient HTML, CSS, and JavaScript code. Collaborate with UX designers to ensure a seamless user experience."
4 to 8 Years,BA,Intern,Financial Planner,Tax Planner,Tax planning strategies Tax law knowledge Financial analysis Retirement planning Estate planning Client relationship management Tax optimization Communication skills Attention to detail Tax software proficiency Regulatory compliance,"Focus on tax planning and optimization, helping clients minimize tax liabilities. Stay updated on tax laws and regulations. Provide tax-efficient financial strategies."
3 to 8 Years,BA,Part-Time,Event Planner,Event Coordinator,Event planning Vendor coordination Budget management Marketing and promotion Logistics,"Plan and coordinate events, including logistics, vendor management, and timelines. Communicate with clients to understand event goals and preferences. Ensure smooth event execution."
1 to 14 Years,M.Com,Contract,Psychologist,Clinical Psychologist,Clinical psychology Counseling skills Assessment tools Diagnostic skills Empathy and listening skills,"Provide therapy and counseling services to individuals, couples, and families. Conduct psychological assessments and diagnoses. Develop treatment plans and provide ongoing support."
1 to 13 Years,B.Com,Contract,Electrical Designer,Electrical Engineer,Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving,Design electrical systems and components for buildings and infrastructure projects. Ensure compliance with electrical codes and safety standards. Collaborate with architects and contractors.
0 to 8 Years,M.Com,Temporary,Electrical Designer,Lighting Designer,Lighting design Architectural lighting Lighting software proficiency Creative lighting concepts Technical knowledge,"Specialize in lighting design, creating lighting plans for interiors and exteriors. Select lighting fixtures and systems. Enhance visual appeal and energy efficiency through lighting design."
3 to 10 Years,M.Com,Part-Time,Data Analyst,Business Intelligence Analyst,"Data analysis and visualization tools (e.g., Tableau, Power BI) SQL and database querying Business intelligence concepts Data modeling and reporting Strong analytical and problem-solving skills Data-driven decision-making",Gather and analyze data to provide insights for decision-making using tools like Tableau or Power BI. Create data visualizations and reports. Identify trends and patterns in data.
0 to 12 Years,PhD,Intern,Technical Writer,Content Writer,Writing skills Content creation SEO knowledge Research skills Grammar and proofreading,"Write informative and engaging content for websites, blogs, and marketing materials. Conduct research and interviews to gather information. Tailor content to target audiences."
0 to 8 Years,BA,Temporary,UX/UI Designer,User Interface Designer,"UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design",Create visually appealing user interfaces (UI) that align with brand aesthetics and enhance user engagement. Design interface elements and interactive components. Ensure UI consistency across digital platforms.
4 to 12 Years,M.Com,Part-Time,Tax Consultant,Personal Tax Consultant,Tax law knowledge Individual tax planning Tax return preparation Tax deductions and credits Tax compliance IRS regulations Client relationship management Communication skills Attention to detail Tax software proficiency,Assist individuals and families with personal income tax planning and compliance. Prepare and file tax returns. Provide tax advice and financial planning.
5 to 10 Years,MBA,Full-Time,Software Tester,Automation Tester,"Test automation tools (e.g., Selenium, Appium) Scripting languages (e.g., Python, Java) Test framework development Continuous integration tools Test data management",Implement and maintain test automation frameworks. Write automated test scripts for regression testing. Analyze test results and provide feedback for continuous improvement.
5 to 14 Years,BCA,Intern,Account Executive,Sales Account Executive,Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge,Identify and pursue sales opportunities with new and existing clients. Build and maintain client relationships. Meet or exceed sales targets and quotas.
2 to 13 Years,BCA,Part-Time,Systems Administrator,IT Support Specialist,Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,"Provide technical support to end-users, troubleshoot hardware and software issues, and resolve IT-related problems. Install and configure computer systems and software. Maintain IT documentation and knowledge base."
4 to 9 Years,BA,Intern,Account Director,Account Strategist,Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills,Develop account strategies and marketing plans to achieve client objectives. Analyze campaign performance data and provide strategic recommendations. Collaborate with cross-functional teams.
0 to 10 Years,PhD,Part-Time,Digital Marketing Specialist,Social Media Manager,"Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising","Manage and grow social media accounts, create engaging content, and interact with the online community. Develop social media content calendars and strategies. Monitor social media trends and engagement metrics."
1 to 15 Years,BBA,Temporary,Database Administrator,Database Developer,"Database design and development SQL and database querying Data modeling Programming languages (e.g., Java, Python) Data security and privacy regulations knowledge","Design and implement database systems, tables, and structures. Develop and optimize SQL queries and scripts. Ensure data security, integrity, and backup procedures."
1 to 15 Years,B.Tech,Intern,Research Analyst,Social Science Researcher,"Social science research methods Qualitative and quantitative data analysis Survey design and implementation Ethnographic research Interviewing skills Research ethics Statistical software (e.g., Stata, NVivo) Report writing Communication skills Critical thinking Empathy","Conduct research in social sciences, gathering and analyzing data on social phenomena, human behavior, and public policy. Publish research findings in academic journals. Contribute to social science research projects."
3 to 9 Years,B.Tech,Temporary,Data Entry Clerk,Record Keeper,Records management Data entry and retrieval Attention to detail,"Maintain records, files, and documentation in an organized manner. Ensure compliance with record-keeping policies and regulations. Retrieve and update records as needed."
5 to 14 Years,MCA,Intern,Registered Nurse,Staff Nurse,Nursing care Patient assessment Medical knowledge,"Provide direct patient care, including assessments, medication administration, and wound care. Monitor patient conditions and vital signs. Collaborate with healthcare teams to develop care plans."
3 to 8 Years,BA,Temporary,Tax Consultant,International Tax Consultant,International tax law knowledge Transfer pricing Cross-border tax planning Tax treaties and agreements Foreign tax credits International tax compliance Transfer pricing documentation Multinational tax strategies Client relationship management Communication skills Tax software proficiency,Specialize in international tax law and cross-border tax issues. Provide guidance on international tax planning and transfer pricing. Ensure compliance with global tax regulations.
4 to 8 Years,MCA,Temporary,Investment Analyst,Risk Analyst,Risk assessment Data analysis Financial modeling Risk management tools Regulatory compliance knowledge,"Evaluate investment risks, including market, credit, and operational risks. Develop risk models and stress tests. Implement risk management strategies and controls."
5 to 10 Years,M.Com,Temporary,Speech Therapist,Speech Pathologist,Speech pathology Articulation therapy Language disorders Speech assessment Therapy planning Communication skills,Diagnose and treat a wide range of speech and language disorders across age groups. Use assessment tools and therapeutic techniques. Help individuals improve their communication abilities.
4 to 8 Years,B.Com,Contract,Sales Manager,Regional Sales Director,Sales strategy development Territory management Sales team leadership,Oversee sales activities and strategy for a specific geographic region. Develop sales plans and objectives. Analyze regional market trends and competition.
4 to 10 Years,BCA,Full-Time,Social Worker,Mental Health Counselor,Counseling techniques Psychotherapy Mental health assessment Treatment planning Crisis intervention Ethical standards Empathy and active listening Cultural competence Documentation Communication skills Self-care Licensing and certification,Offer mental health counseling and therapy to individuals and groups. Diagnose and treat mental health conditions. Develop treatment plans and monitor progress.
5 to 12 Years,PhD,Part-Time,Nurse Practitioner,Family Nurse Practitioner,Family medicine Health assessment Pediatric care Chronic disease management Patient education,"Focus on family-centered care, providing healthcare services to individuals and families of all ages. Perform physical exams, order diagnostic tests, and manage chronic conditions. Promote health and wellness."
0 to 13 Years,B.Com,Temporary,Landscape Architect,Urban Planner,Urban design and planning Zoning regulations GIS and mapping tools,"Plan and design urban spaces, parks, and recreational areas. Consider sustainability and community needs in design. Collaborate with city planners and architects."
5 to 15 Years,B.Tech,Temporary,Key Account Manager,Strategic Account Manager,Account management Client relationship Sales strategy Business development Negotiation skills,"Focus on strategic planning for key accounts, identifying long-term goals and growth opportunities. Collaborate with cross-functional teams to meet client needs. Monitor account performance and profitability."
4 to 14 Years,B.Tech,Intern,UX Researcher,User Researcher,User research methods Usability testing Data analysis and interpretation,"Conduct user research to understand user behavior, needs, and preferences. Plan and execute user interviews, surveys, and usability studies. Analyze research findings and generate insights."
4 to 11 Years,BA,Temporary,Account Manager,Sales Account Manager,Account management Sales strategy Negotiation and closing skills,Manage sales accounts and ensure revenue growth. Identify cross-selling and upselling opportunities. Develop account strategies and forecasts.
2 to 10 Years,B.Com,Part-Time,Investment Banker,Financial Analyst,Financial analysis Data analysis Financial modeling,"Analyze financial data, research investment opportunities, and provide recommendations for investment decisions. Create financial models and projections. Collaborate with clients on investment strategies."
2 to 9 Years,BBA,Intern,IT Support Specialist,Desktop Support Technician,"Desktop hardware and software troubleshooting Operating system expertise (e.g., Windows, macOS) Remote desktop support Hardware and software upgrades Customer service skills","Install, configure, and maintain desktop computers and peripherals. Perform hardware and software upgrades and repairs. Manage IT inventory and asset tracking."
3 to 12 Years,BA,Temporary,Art Director,Art Curator,Art history and knowledge Art curation and exhibition planning Collections management Art market trends Cultural awareness,"Curate and manage art collections, exhibitions, and galleries. Research and select artworks for display. Collaborate with artists, collectors, and institutions."
5 to 12 Years,PhD,Full-Time,Account Executive,Sales Account Executive,Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge,Identify and pursue sales opportunities with new and existing clients. Build and maintain client relationships. Meet or exceed sales targets and quotas.
0 to 11 Years,M.Tech,Contract,Software Developer,Mobile App Developer,"Mobile app development languages (e.g., Java, Swift, Kotlin) Cross-platform development (e.g., React Native, Flutter) Mobile app design principles APIs and web services integration Debugging and troubleshooting",Create mobile applications for iOS and Android platforms. Optimize mobile app performance and user experience. Collaborate with cross-functional teams to define app requirements.
1 to 11 Years,BCA,Intern,Project Manager,Agile Project Manager,"Agile methodologies Scrum or Kanban Team collaboration Agile tools (e.g., Jira)","Facilitate agile project development, collaborate with cross-functional teams, and manage project backlogs and sprints. Coach and mentor team members on agile practices. Drive continuous improvement of agile processes."
4 to 13 Years,MCA,Full-Time,Civil Engineer,Structural Engineer,"Structural engineering principles Structural analysis and design software (e.g., AutoCAD, SAP2000) Building codes and standards Project management Structural integrity assessment",Design and analyze structural components and systems for buildings and infrastructure projects. Ensure structural safety and compliance with codes and standards. Collaborate with architects and contractors.
0 to 8 Years,BCA,Part-Time,Customer Service Manager,Service Quality Assurance Manager,Quality assurance Quality control Process improvement Audit procedures Compliance standards Root cause analysis,Ensure service quality and consistency by defining and implementing QA standards and processes. Conduct regular quality audits and provide feedback to the team. Identify areas for improvement and training.
4 to 13 Years,MBA,Full-Time,Procurement Manager,Procurement Analyst,Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen,Analyze procurement data and trends to support decision-making. Conduct supplier evaluations and performance assessments. Assist in procurement planning and forecasting.
3 to 10 Years,B.Com,Intern,Substance Abuse Counselor,Family Counselor,Family counseling Marriage and family therapy Conflict resolution skills,Work with the families of individuals facing substance abuse challenges. Provide education and therapy to improve family dynamics and support networks. Collaborate with treatment teams.
1 to 15 Years,MCA,Intern,Supply Chain Analyst,Logistics Analyst,Supply chain analysis Data analytics Inventory management Transportation planning Problem-solving,"Analyze and optimize logistics and supply chain processes, including transportation and warehousing. Monitor inventory levels and track shipments. Identify cost-saving opportunities."
0 to 9 Years,B.Tech,Intern,Data Engineer,Data Architect,Data architecture design Database management systems Data modeling,Design data architecture and systems to meet business needs. Develop data models and database schemas. Ensure data security and compliance.
3 to 9 Years,MCA,Part-Time,Sales Manager,Regional Sales Director,Sales strategy development Territory management Sales team leadership,Oversee sales activities and strategy for a specific geographic region. Develop sales plans and objectives. Analyze regional market trends and competition.
5 to 8 Years,BBA,Contract,Supply Chain Analyst,Logistics Analyst,Supply chain analysis Data analytics Inventory management Transportation planning Problem-solving,"Analyze and optimize logistics and supply chain processes, including transportation and warehousing. Monitor inventory levels and track shipments. Identify cost-saving opportunities."
5 to 14 Years,BA,Part-Time,UX/UI Designer,User Interface Designer,"UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design",Create visually appealing user interfaces (UI) that align with brand aesthetics and enhance user engagement. Design interface elements and interactive components. Ensure UI consistency across digital platforms.
2 to 12 Years,BA,Contract,Software Tester,Quality Assurance Analyst,"Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing","Test software applications and systems to identify defects and ensure quality. Create test plans, test cases, and test scripts. Collaborate with development teams to resolve issues."
1 to 9 Years,MCA,Contract,Software Tester,Quality Assurance Analyst,"Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing","Test software applications and systems to identify defects and ensure quality. Create test plans, test cases, and test scripts. Collaborate with development teams to resolve issues."
1 to 10 Years,B.Com,Full-Time,Technical Writer,Documentation Specialist,Document management Recordkeeping Attention to detail Data entry Organizational skills,"Create technical documentation, manuals, and user guides for software, hardware, or products. Collaborate with subject matter experts and engineers. Ensure documentation accuracy and clarity."
1 to 8 Years,BA,Full-Time,Accountant,Financial Accountant,"Financial reporting Accounting software (e.g., QuickBooks) Auditing GAAP knowledge","Maintain financial records, prepare financial statements, and ensure compliance with accounting standards and regulations. Reconcile accounts and analyze financial data. Assist with financial audits."
4 to 8 Years,PhD,Contract,Sales Representative,Inside Sales Representative,"Sales prospecting and lead generation Sales presentation and communication CRM software (e.g., Salesforce) Sales negotiation and closing techniques Product knowledge Relationship building","Identify and qualify sales leads, conduct sales presentations, and close deals through phone and email. Maintain accurate sales records and reports. Provide excellent customer service throughout the sales process."
4 to 11 Years,B.Com,Contract,Key Account Manager,Strategic Account Manager,Account management Client relationship Sales strategy Business development Negotiation skills,"Focus on strategic planning for key accounts, identifying long-term goals and growth opportunities. Collaborate with cross-functional teams to meet client needs. Monitor account performance and profitability."
2 to 15 Years,BBA,Intern,Network Administrator,Network Security Analyst,Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail,"Manage and secure computer networks, including firewalls and intrusion detection systems. Monitor network traffic for security threats. Implement security policies and procedures."
4 to 11 Years,PhD,Intern,Purchasing Agent,Inventory Manager,Inventory control Demand forecasting Supply chain management Data analysis Warehouse management,"Manage inventory levels, track stock, and optimize inventory processes. Ensure stock availability and minimize carrying costs. Conduct inventory audits and reconcile discrepancies."
1 to 14 Years,BCA,Contract,QA Analyst,Automation Test Engineer,"Test automation Test framework development Continuous integration Scripting languages (e.g., Python) Test reporting Code review",Develop and maintain automated test scripts using testing tools like Selenium or Appium. Execute automated tests and analyze results. Continuously improve test automation frameworks.
4 to 13 Years,MCA,Full-Time,UX/UI Designer,User Interface Designer,"UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design",Create visually appealing user interfaces (UI) that align with brand aesthetics and enhance user engagement. Design interface elements and interactive components. Ensure UI consistency across digital platforms.
4 to 9 Years,BA,Full-Time,Sales Representative,Inside Sales Representative,"Sales prospecting and lead generation Sales presentation and communication CRM software (e.g., Salesforce) Sales negotiation and closing techniques Product knowledge Relationship building","Identify and qualify sales leads, conduct sales presentations, and close deals through phone and email. Maintain accurate sales records and reports. Provide excellent customer service throughout the sales process."
1 to 11 Years,BBA,Intern,Environmental Consultant,Sustainability Consultant,Sustainability consulting Sustainability assessments Sustainable practices Green building standards Environmental policies Client communication,"Focus on sustainable practices and initiatives, advising clients on reducing their environmental footprint. Develop sustainability plans and strategies. Conduct sustainability audits and reporting."
5 to 13 Years,BBA,Temporary,Electrical Engineer,Electronics Hardware Engineer,Electronics design PCB layout Embedded systems Circuit analysis Troubleshooting,Develop electronic hardware components and circuits for various applications. Conduct testing and validation of electronic systems. Collaborate with cross-functional teams on product development.
0 to 9 Years,M.Tech,Temporary,Systems Engineer,Systems Integration Specialist,Systems integration Integration architecture Data mapping Middleware technologies API integration System testing Troubleshooting,"Integrate various software and hardware systems within an organization, ensuring seamless data flow and interoperability. Collaborate with software developers and IT teams on integration projects."
0 to 13 Years,BBA,Full-Time,Brand Manager,Brand Strategist,Brand strategy development Market research and analysis Competitive analysis Brand positioning and messaging Creative direction and collaboration,"Develop brand strategies, positioning, and messaging to drive brand awareness and loyalty. Conduct market research and competitor analysis. Collaborate with creative teams on branding materials."
5 to 11 Years,BCA,Full-Time,Electrical Designer,Electrical Engineer,Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving,Design electrical systems and components for buildings and infrastructure projects. Ensure compliance with electrical codes and safety standards. Collaborate with architects and contractors.
2 to 14 Years,PhD,Temporary,Nurse Practitioner,Acute Care Nurse Practitioner,Acute care nursing Emergency medicine Critical care Diagnostic tests Treatment planning,"Specialize in acute care settings, managing complex medical conditions and critical illnesses. Collaborate with healthcare teams in hospital settings. Make critical medical decisions and interventions."
2 to 13 Years,B.Tech,Part-Time,Litigation Attorney,Trial Attorney,Litigation Legal research Courtroom representation Case preparation Client counseling Legal writing,"Represent clients in civil or criminal trials, presenting cases in court. Prepare legal arguments and cross-examine witnesses. Negotiate settlements when possible."
2 to 9 Years,BBA,Contract,Network Engineer,Network Security Engineer,Network security protocols and technologies Firewalls and intrusion detection systems Vulnerability assessment and penetration testing Security policy development and enforcement Incident response and recovery,"Focus on network security, implement security measures, and protect against cyber threats. Conduct security audits and vulnerability assessments. Respond to security incidents and breaches."
2 to 12 Years,MBA,Temporary,Psychologist,Research Psychologist,Research methodology Data analysis Psychological studies Writing research reports Critical thinking,"Conduct psychological research, design experiments, and analyze data. Publish research findings in academic journals. Contribute to the advancement of psychological knowledge."
2 to 12 Years,B.Tech,Part-Time,Art Teacher,Art Education Coordinator,Art education curriculum Program development Teacher training Communication skills Artistic expertise,"Coordinate art education programs, curriculum development, and student assessments. Collaborate with other educators and schools. Organize art exhibitions and showcases."
1 to 8 Years,MCA,Part-Time,Human Resources Manager,Talent Acquisition Manager,Talent sourcing Interviewing Onboarding Recruitment strategies HR software,"Lead talent acquisition efforts, including sourcing, interviewing, and onboarding new employees. Collaborate with hiring managers to define job requirements. Develop and implement recruitment strategies."
1 to 12 Years,B.Com,Contract,Teacher,Classroom Teacher,Teaching pedagogy Classroom management Curriculum development Student assessment Differentiated instruction,"Plan and deliver engaging lessons, adapting teaching methods to student needs. Assess student progress and provide feedback. Create a positive and inclusive classroom environment."
1 to 15 Years,MCA,Contract,Inventory Analyst,Inventory Control Specialist,Inventory management Stock control Demand forecasting Inventory tracking systems Supply chain coordination Problem-solving skills,"Manage inventory levels, track stock movements, and optimize inventory turnover. Conduct regular inventory counts and reconcile discrepancies. Ensure accurate and efficient inventory management."
4 to 13 Years,M.Com,Contract,Legal Counsel,Corporate Attorney,Corporate law and regulations Contract drafting and negotiation Legal research and analysis Risk management Excellent communication and negotiation skills,"Provide legal advice and guidance on corporate matters, contracts, and regulatory compliance. Draft and review legal documents and agreements. Represent the company in legal proceedings."
4 to 14 Years,MCA,Part-Time,Database Developer,SQL Database Developer,SQL (Structured Query Language) Database design Query optimization Data modeling Database maintenance Problem-solving skills,"Design, develop, and maintain SQL databases, ensuring data integrity and performance. Write complex SQL queries and stored procedures. Troubleshoot database issues and optimize queries."
1 to 9 Years,B.Tech,Temporary,Procurement Specialist,Procurement Manager,Procurement strategies Supplier management Negotiation Cost analysis Supply chain management,"Manage procurement processes, vendor relationships, and supplier negotiations. Develop procurement strategies and cost-saving initiatives. Ensure timely delivery of goods and services."
5 to 15 Years,B.Com,Intern,Systems Analyst,IT Analyst,IT systems analysis Troubleshooting IT support and documentation,"Analyze business systems, processes, and requirements to identify IT solutions. Develop system specifications and requirements documents. Collaborate with IT teams to implement solutions."
4 to 11 Years,M.Com,Intern,Nurse Practitioner,Acute Care Nurse Practitioner,Acute care nursing Emergency medicine Critical care Diagnostic tests Treatment planning,"Specialize in acute care settings, managing complex medical conditions and critical illnesses. Collaborate with healthcare teams in hospital settings. Make critical medical decisions and interventions."
